repo_name,collection_date,stars_total,forks_total,star_velocity,commit_frequency,hn_buzz_score,language,days_old,fork_rate,popularity_score,created_at,is_trending
rendercv/rendercv,2025-12-28,12761,842,252,0,0.0,Python,930,0.06598228978920147,4122.7,2023-06-11T13:58:25Z,-1
TheAlgorithms/Python,2025-12-28,215622,49746,180,0,0.0,Python,3451,0.2307092968249993,74725.8,2016-07-16T09:44:01Z,-1
agrinman/tunnelto,2025-12-28,3866,214,408,0,0.0,Rust,2107,0.0553543714433523,1406.6,2020-03-22T05:39:49Z,-1
xerrors/Yuxi-Know,2025-12-28,3507,420,60,0,0.0,Python,540,0.11976047904191617,1166.1,2024-07-05T10:57:35Z,-1
Shubhamsaboo/awesome-llm-apps,2025-12-28,84592,12024,180,0,0.0,Python,608,0.14214110081331569,27872.399999999998,2024-04-29T05:30:25Z,-1
