repo_name,collection_date,stars_total,forks_total,star_velocity,commit_frequency,hn_buzz_score,language,days_old,fork_rate,popularity_score,created_at,is_trending
xerrors/Yuxi-Know,2025-12-27,3415,412,36,0,0.0,Python,540,0.12064421669106881,1124.9,2024-07-05T10:57:35Z,-1
Shubhamsaboo/awesome-llm-apps,2025-12-27,84339,11993,84,0,0.0,Python,607,0.14219993122991736,27742.3,2024-04-29T05:30:25Z,-1
agrinman/tunnelto,2025-12-27,3336,191,420,0,0.0,Rust,2106,0.05725419664268585,1249.0,2020-03-22T05:39:49Z,-1
rendercv/rendercv,2025-12-27,12449,824,312,0,0.0,Python,930,0.06619005542613865,4055.5,2023-06-11T13:58:25Z,-1
TheAlgorithms/Python,2025-12-27,215400,49725,84,0,0.0,Python,3451,0.23084958217270196,74607.0,2016-07-16T09:44:01Z,-1
