repo_name,collection_date,stars_total,forks_total,star_velocity,commit_frequency,hn_buzz_score,language,days_old,fork_rate,popularity_score,created_at,is_trending
afkarxyz/SpotiFLAC,2026-01-02,1954,112,120,0,0.0,TypeScript,358,0.057318321392016376,668.5999999999999,2025-01-09T02:43:06Z,-1
BloopAI/vibe-kanban,2026-01-02,10912,980,276,0,0.0,Rust,201,0.08980938416422288,3607.6,2025-06-14T19:10:21Z,-1
awslabs/amazon-bedrock-agentcore-samples,2026-01-02,2011,725,48,0,0.0,Jupyter Notebook,182,0.36051715564395825,772.3,2025-07-03T21:05:14Z,-1
organicmaps/organicmaps,2026-01-02,12854,1272,84,0,0.0,C++,1831,0.09895752295005446,4152.599999999999,2020-12-27T19:02:26Z,-1
usememos/memos,2026-01-02,48180,3467,168,0,0.0,Go,1485,0.0719593192195932,15231.4,2021-12-08T15:30:18Z,-1
HQarroum/docker-android,2026-01-02,1315,79,228,0,0.0,Shell,1058,0.06007604562737642,524.3,2023-02-08T13:48:21Z,-1
Polymarket/agents,2026-01-02,1474,368,108,0,0.0,Python,547,0.2496607869742198,569.8,2024-07-03T22:44:18Z,-1
harvard-edge/cs249r_book,2026-01-02,14580,1653,144,0,0.0,JavaScript,848,0.11337448559670782,4776.6,2023-09-06T19:31:06Z,-1
yichuan-w/LEANN,2026-01-02,7871,713,252,0,0.0,Python,206,0.09058569432092492,2629.8999999999996,2025-06-09T06:52:59Z,-1
HandsOnLLM/Hands-On-Large-Language-Models,2026-01-02,19427,4601,108,0,0.0,Jupyter Notebook,552,0.2368353322695218,6802.299999999999,2024-06-28T11:49:46Z,-1
DayuanJiang/next-ai-draw-io,2026-01-02,16248,1677,84,12,0.0,TypeScript,284,0.10321270310192024,5251.799999999999,2025-03-23T15:03:48Z,-1
livekit/agents,2026-01-02,8853,2317,120,0,0.0,Python,805,0.26171919123460974,3179.3,2023-10-19T23:00:55Z,-1
