repo_name,collection_date,stars_total,forks_total,star_velocity,commit_frequency,hn_buzz_score,language,days_old,fork_rate,popularity_score,created_at,is_trending
afkarxyz/SpotiFLAC,2026-01-01,1637,93,228,0,0.0,TypeScript,357,0.056811240073304826,623.6999999999999,2025-01-09T02:43:06Z,-1
timescale/pg-aiguide,2026-01-01,1049,53,84,0,0.0,Python,161,0.05052430886558627,367.3,2025-07-23T16:40:10Z,-1
BloopAI/vibe-kanban,2026-01-01,10243,927,276,12,0.0,Rust,200,0.09050082983500927,3396.3,2025-06-14T19:10:21Z,-1
harvard-edge/cs249r_book,2026-01-01,14070,1602,348,0,0.0,JavaScript,847,0.1138592750533049,4715.4,2023-09-06T19:31:06Z,-1
google-gemini/computer-use-preview,2026-01-01,2371,306,72,0,0.0,Python,240,0.1290594685786588,808.5,2025-05-06T00:20:31Z,-1
resemble-ai/chatterbox,2026-01-01,20000,2612,132,0,0.0,Python,252,0.1306,6588.4,2025-04-23T08:16:38Z,-1
sansan0/TrendRadar,2026-01-01,41820,21137,132,0,0.0,Python,247,0.5054280248684839,16839.4,2025-04-28T11:42:16Z,-1
organicmaps/organicmaps,2026-01-01,12624,1268,120,0,0.0,C++,1830,0.10044359949302915,4100.8,2020-12-27T19:02:26Z,-1
nocodb/nocodb,2026-01-01,59635,4425,168,0,0.0,TypeScript,2985,0.07420139180011738,18859.5,2017-10-29T18:51:48Z,-1
openai/openai-cookbook,2026-01-01,70223,11801,96,0,0.0,Jupyter Notebook,1392,0.16805035387266282,23475.1,2022-03-11T02:08:53Z,-1
