repo_name,collection_date,stars_total,forks_total,star_velocity,commit_frequency,hn_buzz_score,language,days_old,fork_rate,popularity_score,created_at
NanmiCoder/MediaCrawler,2025-12-26,40710,9149,36,0,0.0,Python,930,0.22473593711618767,14060.8,2023-06-09T12:14:34Z
yichuan-w/LEANN,2025-12-26,6270,613,72,0,0.0,Python,200,0.09776714513556618,2039.6,2025-06-09T06:52:59Z
flowsurface-rs/flowsurface,2025-12-26,704,129,72,0,0.0,Rust,631,0.18323863636363635,273.0,2024-04-03T21:03:33Z
rendercv/rendercv,2025-12-26,11754,778,900,0,0.0,Python,928,0.06619023311213204,4131.8,2023-06-11T13:58:25Z
langgenius/dify,2025-12-26,123366,19183,36,0,0.0,TypeScript,989,0.15549665223805587,40864.399999999994,2023-04-12T07:40:24Z
apurvsinghgautam/robin,2025-12-26,2777,576,36,0,0.0,Python,261,0.20741807706157725,966.3000000000001,2025-04-08T14:20:34Z
