repo_name,collection_date,stars_total,forks_total,star_velocity,commit_frequency,hn_buzz_score,language,days_old,fork_rate,popularity_score,created_at,is_trending
QuantConnect/Lean,2025-12-30,14972,4102,120,12,0.0,C#,4050,0.2739780924392199,5372.0,2014-11-28T04:20:19Z,-1
Flowseal/zapret-discord-youtube,2025-12-30,20336,1685,36,0,0.0,Batchfile,447,0.08285798583792289,6455.8,2024-10-08T20:02:28Z,-1
BloopAI/vibe-kanban,2025-12-30,8132,792,228,12,0.0,Rust,198,0.09739301524840138,2712.0,2025-06-14T19:10:21Z,-1
gitroomhq/postiz-app,2025-12-30,25505,4317,132,0,0.0,TypeScript,905,0.16926092922956282,8580.9,2023-07-08T17:24:22Z,-1
RustPython/RustPython,2025-12-30,21390,1389,96,12,0.0,Rust,2772,0.06493688639551193,6742.8,2018-05-28T19:27:01Z,-1
sansan0/TrendRadar,2025-12-30,41464,21081,72,12,0.0,Python,245,0.5084169399961412,16691.399999999998,2025-04-28T11:42:16Z,-1
x1xhlol/system-prompts-and-models-of-ai-tools,2025-12-30,103614,27526,204,0,0.0,Unknown,299,0.2656590808191943,36691.399999999994,2025-03-05T16:38:29Z,-1
Stirling-Tools/Stirling-PDF,2025-12-30,72106,6120,120,24,0.0,Java,1067,0.0848750450725321,22915.8,2023-01-27T18:22:42Z,-1
resemble-ai/chatterbox,2025-12-30,19304,2530,252,0,0.0,Python,250,0.13106092001657688,6423.2,2025-04-23T08:16:38Z,-1
sinelaw/fresh,2025-12-30,4180,138,108,72,0.0,Rust,370,0.03301435406698565,1335.6,2024-12-24T19:50:15Z,-1
vanilla-wiiu/vanilla,2025-12-30,1505,55,72,0,0.0,C,599,0.036544850498338874,498.5,2024-05-09T18:03:24Z,-1
TheAlgorithms/Python,2025-12-30,216171,49798,96,0,0.0,Python,3453,0.23036392485578547,74858.9,2016-07-16T09:44:01Z,-1
jellyfin/jellyfin,2025-12-30,47134,4268,84,0,0.0,C#,2578,0.09055034582254848,15035.8,2018-12-09T06:36:45Z,-1
antiwork/gumroad,2025-12-30,7979,1531,36,0,0.0,Ruby,270,0.19187868153903997,2717.8999999999996,2025-04-03T07:22:41Z,-1
