repo_name,collection_date,stars_total,forks_total,star_velocity,commit_frequency,hn_buzz_score,language,days_old,fork_rate,popularity_score,created_at,is_trending
Sergeydigl3/zapret-discord-youtube-linux,2025-12-29,856,41,24,0,0.0,Shell,411,0.04789719626168224,277.0,2024-11-13T00:43:18Z,-1
Flowseal/zapret-discord-youtube,2025-12-29,20225,1674,96,24,0.0,Batchfile,446,0.08276885043263288,6450.3,2024-10-08T20:02:28Z,-1
RustPython/RustPython,2025-12-29,21208,1382,96,0,0.0,Rust,2771,0.06516408902301019,6686.799999999999,2018-05-28T19:27:01Z,-1
BloopAI/vibe-kanban,2025-12-29,7627,757,444,0,0.0,Rust,197,0.09925265504130064,2661.5,2025-06-14T19:10:21Z,-1
TheAlgorithms/Python,2025-12-29,215964,49776,216,0,0.0,Python,3452,0.23048285825415346,74852.4,2016-07-16T09:44:01Z,-1
sinelaw/fresh,2025-12-29,3925,127,120,120,0.0,Rust,369,0.032356687898089175,1262.9,2024-12-24T19:50:15Z,-1
Shubhamsaboo/awesome-llm-apps,2025-12-29,85023,12083,228,0,0.0,Python,609,0.14211448666831328,28037.499999999996,2024-04-29T05:30:25Z,-1
QuantConnect/Lean,2025-12-29,14583,4074,216,0,0.0,C#,4049,0.27936638551738324,5297.7,2014-11-28T04:20:19Z,-1
