repo_name,collection_date,stars_total,forks_total,star_velocity,commit_frequency,hn_buzz_score,language,days_old,fork_rate,popularity_score,created_at,is_trending
ourongxing/newsnow,2026-01-03,16105,4726,96,0,0.0,TypeScript,466,0.29344923936665634,5824.7,2024-09-23T14:16:12Z,-1
openai/openai-cookbook,2026-01-03,70457,11826,72,0,0.0,Jupyter Notebook,1394,0.16784705565096442,23538.3,2022-03-11T02:08:53Z,-1
rossant/awesome-math,2026-01-03,13020,1273,84,0,0.0,Python,3775,0.09777265745007681,4202.6,2015-09-02T09:42:31Z,-1
HQarroum/docker-android,2026-01-03,1849,118,204,0,0.0,Shell,1059,0.0638182801514332,680.3,2023-02-08T13:48:21Z,-1
nocodb/nocodb,2026-01-03,59960,4460,96,24,0.0,TypeScript,2987,0.07438292194796531,18928.0,2017-10-29T18:51:48Z,-1
usememos/memos,2026-01-03,49032,3542,300,12,0.0,Go,1486,0.07223853809756893,15568.0,2021-12-08T15:30:18Z,-1
SYSTRAN/faster-whisper,2026-01-03,20097,1681,108,0,0.0,Python,1056,0.08364432502363536,6419.299999999999,2023-02-11T09:17:27Z,-1
Koenkk/zigbee2mqtt,2026-01-03,14529,1885,12,0,0.0,TypeScript,2826,0.12974051896207583,4741.7,2018-04-08T12:01:34Z,-1
GitHubDaily/GitHubDaily,2026-01-03,43900,4421,96,0,0.0,Unknown,2560,0.10070615034168565,14102.2,2018-12-30T13:56:58Z,-1
